"书名","封面图片地址","出版信息","作者","内容简介","标签信息","标签1","标签2","标签3","标签4","标签5","标签6","标签7","标签8"
"解忧杂货店","https://img3.doubanio.com/view/subject/l/public/s27264181.jpg","作者:                         [日]            东野圭吾                  出版社: 南海出版公司                                  原作名: ナミヤ雑貨店の奇蹟                     译者:                                李盈春                  出版年: 2014-5              页数: 291              定价: 39.50元              装帧: 精装              丛书: 新经典文库·东野圭吾作品                          ISBN: 9787544270878","[日]            东野圭吾","现代人内心流失的东西，这家杂货店能帮你找回——","东野圭吾                  治愈                  小说                  温暖                  日本                  日本文学                  東野圭吾                  推理  ","东野圭吾","治愈","小说","温暖","日本","日本文学","東野圭吾","推理"
"巨人的陨落","https://img3.doubanio.com/view/subject/l/public/s28668834.jpg","作者:                         [英]            肯·福莱特                  出版社: 江苏凤凰文艺出版社                        副标题: 世纪三部曲              原作名: Fall of Giants              译者:                     于大卫                  出版年: 2016-5-1              页数: 1168              定价: 129.80元              装帧: 平装              丛书: 世纪三部曲                          ISBN: 9787539989891","[英]            肯·福莱特","在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴情的德国特工… 从充满灰尘和危险的煤矿到闪闪发光的皇室宫殿，从代表着权力的走廊到爱恨纠缠的卧室，五个家族迥然不同又纠葛不断的命运逐渐揭晓，波澜壮阔地展现了一个我们自认为了解，但从未如此真切感受过的20世纪。","历史                  小说                  外国文学                  肯·福莱特                  好书，值得一读                  英国小说                  经典                  英国  ","历史","小说","外国文学","肯·福莱特","好书，值得一读","英国小说","经典","英国"
"我的前半生","https://img1.doubanio.com/view/subject/l/public/s2720819.jpg","作者:                         [加拿大]            亦舒                  出版社: 新世界出版社                                                      出版年: 2007-8              页数: 271              定价: 22.00元              装帧: 平装              丛书: 亦舒新经典                          ISBN: 9787802283930","[加拿大]            亦舒","一个三十几岁的美丽女人子君，在家做全职家庭主妇。却被一个平凡女人夺走丈夫，一段婚姻的失败，让女主角不得不坚强，变得更美丽，有了事业，最终遇见一个更值得爱的男人……","亦舒                  我的前半生                  小说                  女性                  爱情                  香港                  言情                  中国文学  ","亦舒","我的前半生","小说","女性","爱情","香港","言情","中国文学"
"百年孤独","https://img3.doubanio.com/view/subject/l/public/s6384944.jpg","作者:                         [哥伦比亚]            加西亚·马尔克斯                  出版社: 南海出版公司              出品方: 新经典文化                        原作名: Cien años de soledad              译者:                     范晔                  出版年: 2011-6              页数: 360              定价: 39.50元              装帧: 精装              丛书: 新经典文库:加西亚·马尔克斯作品                          ISBN: 9787544253994","[哥伦比亚]            加西亚·马尔克斯","《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚•马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。","百年孤独                  加西亚·马尔克斯                  经典                  拉美文学                  外国文学                  小说                  魔幻现实主义                  文学  ","百年孤独","加西亚·马尔克斯","经典","拉美文学","外国文学","小说","魔幻现实主义","文学"
"追风筝的人","https://img3.doubanio.com/view/subject/l/public/s1727290.jpg","作者:                         [美]            卡勒德·胡赛尼                  出版社: 上海人民出版社              出品方: 世纪文景                        原作名: The Kite Runner              译者:                     李继宏                  出版年: 2006-5              页数: 362              定价: 29.00元              装帧: 平装              丛书: 卡勒德·胡赛尼作品                          ISBN: 9787208061644","[美]            卡勒德·胡赛尼","12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。","追风筝的人                  人性                  阿富汗                  救赎                  小说                  外国文学                  卡勒德·胡赛尼                  外国小说  ","追风筝的人","人性","阿富汗","救赎","小说","外国文学","卡勒德·胡赛尼","外国小说"
"霍乱时期的爱情","https://img3.doubanio.com/view/subject/l/public/s11284102.jpg","作者:                         [哥伦比亚]            加西亚·马尔克斯                  出版社: 南海出版公司                                  原作名: El amor en los tiempos del cólera              译者:                     杨玲                  出版年: 2012-9-1              页数: 401              定价: 39.50元              装帧: 精装              丛书: 新经典文库:加西亚·马尔克斯作品                          ISBN: 9787544258975","[哥伦比亚]            加西亚·马尔克斯","★马尔克斯唯一正式授权，首次完整翻译","加西亚-马尔克斯                  霍乱时期的爱情                  小说                  爱情                  加西亚·马尔克斯                  拉美文学                  外国文学                  文学  ","加西亚-马尔克斯","霍乱时期的爱情","小说","爱情","加西亚·马尔克斯","拉美文学","外国文学","文学"
"雪落香杉树","https://img3.doubanio.com/view/subject/l/public/s29476260.jpg","作者:                        [美] 戴维·伽特森                  出版社: 全本书店|作家出版社              出品方: 全本书店                        原作名: Snow Falling on Cedars                     译者:                        熊裕                  出版年: 2017-6              页数: 370              定价: 52.00元              装帧: 精装                                    ISBN: 9787506387873","全本书店",,"小说                  美国文学                  外国文学                  文学                  戴维·伽特森                  美国                  悬疑                  轻小说  ","小说","美国文学","外国文学","文学","戴维·伽特森","美国","悬疑","轻小说"
"新名字的故事","https://img3.doubanio.com/view/subject/l/public/s29376146.jpg","作者:                         [意]            埃莱娜·费兰特                  出版社: 人民文学出版社              出品方: 99读书人              副标题: 那不勒斯四部曲-02                               译者:                        陈英                  出版年: 2017-4              页数: 492              定价: 59.00元              装帧: 平装              丛书: 那不勒斯四部曲                          ISBN: 9787020125265","[意]            埃莱娜·费兰特",,"女性                  那不勒斯四部曲                  小说                  外国文学                  埃莱娜•费兰特                  意大利文学                  文学/小说                  意大利  ","女性","那不勒斯四部曲","小说","外国文学","埃莱娜•费兰特","意大利文学","文学/小说","意大利"
"1984","https://img1.doubanio.com/view/subject/l/public/s4371408.jpg","作者:                         [英]            乔治·奥威尔                  出版社: 北京十月文艺出版社                                  原作名: Nineteen Eighty-Four              译者:                     刘绍铭                  出版年: 2010-4-1              页数: 304              定价: 28.00              装帧: 精装              丛书: 新经典文库·桂冠文丛                          ISBN: 9787530210291","[英]            乔治·奥威尔","★村上春树以《1Q84》向本书致敬","乔治·奥威尔                  反乌托邦                  政治                  小说                  1984                  外国文学                  英国                  政治寓言  ","乔治·奥威尔","反乌托邦","政治","小说","1984","外国文学","英国","政治寓言"
"鱼王","https://img3.doubanio.com/view/subject/l/public/s29396716.jpg","作者:                         [俄]            维克托·阿斯塔菲耶夫                  出版社: 理想国 | 广西师范大学出版社              出品方: 理想国                        原作名: Царь-рыба                     译者:                        夏仲翼 等                  出版年: 2017-4              页数: 644              定价: 78.00元              装帧: 精装              丛书: 理想国·阿斯塔菲耶夫作品                          ISBN: 9787549586547","[俄]            维克托·阿斯塔菲耶夫",,"俄国文学                  小说                  外国文学                  文学                  俄罗斯                  阿斯塔菲耶夫                  苏俄文学                  理想国  ","俄国文学","小说","外国文学","文学","俄罗斯","阿斯塔菲耶夫","苏俄文学","理想国"
